"id_tugas","id_guru","id_mapel"
"1","1","1"
"2","1","2"
"3","1","3"
"4","1","4"
"5","1","5"
"6","1","6"
"7","1","7"
"8","1","8"
"9","1","9"
"10","2","10"
"11","2","11"
"12","2","12"
"13","2","13"
"14","2","14"
"15","2","15"
"16","2","16"
"17","2","17"
"18","2","18"
"19","3","19"
"20","3","20"
"21","3","21"
"22","3","22"
"23","9","23"
"24","9","24"
"25","9","25"
"26","9","26"
"27","9","27"
"28","5","28"
"29","5","29"
"30","5","30"
"31","5","31"
"32","4","32"
"33","4","33"
"34","4","34"
"35","4","35"
"36","8","36"
"37","8","37"
"38","7","38"
"39","7","39"
"40","7","40"
"41","7","41"
"42","7","42"
"43","7","43"
"44","10","44"
"45","10","45"
"46","10","46"
"47","10","47"
"48","10","48"
"49","10","49"
"50","6","50"
"51","6","51"
"52","9","48"
"53","7","9"
"54","10","51"
"55","9","49"
"56","9","46"
"57","9","48"
"58","5","24"
"59","5","21"
"60","4","14"
"61","7","40"
"62","6","37"
"63","3","30"
"64","10","43"
"65","10","42"
"66","10","41"
"67","2","35"
"68","2","34"
"69","5","4"
"70","2","15"
"71","1","11"
"72","6","5"
"73","10","38"
"74","10","39"
"75","9","40"
